"user_id","date","amount","category","status"
"user_001","2024-09-30T13:10:59.000Z",3200,"Revenue","Paid"
"user_001","2024-09-28T09:52:01.000Z",2500,"Revenue","Pending"
"user_001","2024-09-25T18:40:12.000Z",3200,"Revenue","Pending"
"user_001","2024-09-24T16:22:16.000Z",1500,"Expense","Paid"
"user_001","2024-09-22T11:08:27.000Z",1500,"Revenue","Paid"
"user_001","2024-09-20T08:52:56.000Z",3200,"Revenue","Paid"
"user_001","2024-09-19T09:05:10.000Z",2300,"Revenue","Paid"
"user_001","2024-09-18T11:13:56.000Z",2500,"Revenue","Pending"
"user_001","2024-09-16T12:11:57.000Z",3200,"Revenue","Paid"
"user_001","2024-09-15T13:35:44.000Z",2200,"Revenue","Paid"
"user_001","2024-09-15T09:31:02.000Z",850.25,"Revenue","Pending"
"user_001","2024-09-13T06:14:29.000Z",1500.25,"Revenue","Pending"
"user_001","2024-09-12T16:40:56.000Z",900,"Revenue","Paid"
"user_001","2024-09-12T08:13:11.000Z",2000,"Revenue","Pending"
"user_001","2024-09-11T14:02:59.000Z",2400,"Revenue","Pending"
"user_001","2024-09-11T11:59:50.000Z",2500,"Revenue","Pending"
"user_001","2024-09-10T11:14:56.000Z",2500,"Revenue","Pending"
"user_001","2024-09-10T02:10:59.000Z",650,"Revenue","Paid"
"user_001","2024-09-08T09:50:44.000Z",3200,"Revenue","Paid"
"user_001","2024-09-07T12:02:01.000Z",3200,"Revenue","Paid"
"user_001","2024-09-06T10:56:43.000Z",3200,"Revenue","Paid"
"user_001","2024-09-05T11:22:13.000Z",900,"Expense","Paid"
"user_001","2024-09-05T11:02:18.000Z",2500,"Revenue","Pending"
"user_001","2024-09-03T08:14:39.000Z",3200,"Revenue","Pending"
"user_001","2024-05-26T13:02:37.000Z",3200,"Revenue","Paid"
"user_001","2024-05-24T10:58:35.000Z",3200,"Revenue","Pending"
"user_001","2024-05-23T11:09:14.000Z",1500,"Revenue","Pending"
"user_001","2024-05-20T12:01:45.000Z",800,"Revenue","Pending"
"user_001","2024-05-19T12:35:51.000Z",1500,"Revenue","Pending"
"user_001","2024-05-19T12:30:56.000Z",3200,"Revenue","Pending"
"user_001","2024-05-19T08:22:06.000Z",2200,"Revenue","Paid"
"user_001","2024-05-18T13:21:08.000Z",900,"Revenue","Paid"
"user_001","2024-05-18T12:32:48.000Z",2300,"Revenue","Pending"
"user_001","2024-05-16T09:03:22.000Z",850,"Expense","Paid"
"user_001","2024-05-15T17:22:32.000Z",2500,"Revenue","Pending"
"user_001","2024-05-15T09:40:05.000Z",2500,"Revenue","Pending"
"user_001","2024-05-13T07:20:30.000Z",3500.5,"Revenue","Paid"
"user_001","2024-05-12T14:03:25.000Z",1500,"Revenue","Pending"
"user_001","2024-05-12T07:28:09.000Z",2000,"Revenue","Paid"
"user_001","2024-05-10T17:11:21.000Z",3800,"Revenue","Pending"
"user_001","2024-05-10T04:07:35.000Z",3000,"Revenue","Pending"
"user_001","2024-05-09T11:20:44.000Z",1800,"Revenue","Pending"
"user_001","2024-05-07T16:26:09.000Z",1500,"Revenue","Paid"
"user_001","2024-05-07T14:12:30.000Z",1100,"Expense","Paid"
"user_001","2024-05-04T18:35:27.000Z",1200,"Revenue","Paid"
"user_001","2024-05-02T16:30:21.000Z",2200,"Revenue","Pending"
"user_001","2024-05-02T13:50:25.000Z",2300,"Revenue","Paid"
"user_001","2024-05-01T09:25:18.000Z",2000,"Revenue","Pending"
"user_001","2024-01-30T10:12:05.000Z",1500,"Revenue","Paid"
"user_001","2024-01-30T09:10:00.000Z",1300,"Expense","Paid"
"user_001","2024-01-29T08:35:51.000Z",2200,"Revenue","Pending"
"user_001","2024-01-27T12:40:53.000Z",3800,"Revenue","Pending"
"user_001","2024-01-25T11:55:12.000Z",2200,"Revenue","Pending"
"user_001","2024-01-24T06:34:41.000Z",1500,"Revenue","Paid"
"user_001","2024-01-23T14:12:49.000Z",2200,"Revenue","Pending"
"user_001","2024-01-22T14:01:35.000Z",900,"Revenue","Pending"
"user_001","2024-01-22T10:02:14.000Z",2500,"Revenue","Pending"
"user_001","2024-01-21T08:57:39.000Z",2200,"Revenue","Paid"
"user_001","2024-01-20T09:05:34.000Z",1500,"Revenue","Paid"
"user_001","2024-01-18T12:03:56.000Z",850,"Expense","Paid"
"user_001","2024-01-16T14:23:12.000Z",1500,"Revenue","Paid"
"user_001","2024-01-15T08:34:12.000Z",1500,"Revenue","Paid"
"user_001","2024-01-14T10:25:13.000Z",2200,"Revenue","Paid"
"user_001","2024-01-14T09:50:15.000Z",700,"Revenue","Paid"
"user_001","2024-01-12T16:52:47.000Z",3200,"Revenue","Paid"
"user_001","2024-01-11T13:12:07.000Z",700,"Revenue","Pending"
"user_001","2024-01-11T10:55:01.000Z",1500,"Revenue","Pending"
"user_001","2024-01-11T09:10:17.000Z",1800,"Revenue","Paid"
"user_001","2024-01-10T09:34:18.000Z",3200,"Revenue","Paid"
"user_001","2024-01-09T14:22:35.000Z",3200,"Revenue","Paid"
"user_001","2024-01-09T08:43:05.000Z",2300,"Revenue","Paid"
"user_001","2024-01-06T14:43:52.000Z",1800,"Revenue","Paid"
"user_001","2024-01-05T14:20:13.000Z",2100,"Revenue","Paid"
"user_001","2024-01-05T07:10:11.000Z",2200,"Revenue","Paid"
"user_001","2024-01-03T17:13:15.000Z",1500,"Revenue","Pending"
"user_001","2024-01-03T10:10:23.000Z",1400,"Revenue","Paid"
"user_001","2024-01-02T14:17:03.000Z",1800,"Revenue","Paid"
