"user_id","date","amount","category","status"
"user_004","2024-12-23T17:05:03.000Z",2100,"Expense","Paid"
"user_004","2024-12-20T17:51:34.000Z",1100,"Expense","Pending"
"user_004","2024-12-18T12:26:42.000Z",1200,"Expense","Paid"
"user_004","2024-12-17T09:58:20.000Z",550,"Expense","Paid"
"user_004","2024-12-16T18:42:10.000Z",1300,"Expense","Paid"
"user_004","2024-12-16T10:04:21.000Z",3200,"Expense","Pending"
"user_004","2024-12-15T12:44:07.000Z",1100,"Expense","Paid"
"user_004","2024-12-15T12:04:51.000Z",1100,"Expense","Pending"
"user_004","2024-12-12T15:46:35.000Z",1200.5,"Expense","Paid"
"user_004","2024-12-12T15:45:06.000Z",1100,"Expense","Paid"
"user_004","2024-12-10T12:04:33.000Z",1100,"Expense","Pending"
"user_004","2024-12-09T12:30:22.000Z",1200,"Expense","Paid"
"user_004","2024-12-08T08:20:44.000Z",1500,"Expense","Pending"
"user_004","2024-12-06T13:43:25.000Z",1100,"Expense","Paid"
"user_004","2024-12-06T08:43:35.000Z",800,"Expense","Pending"
"user_004","2024-12-05T16:48:18.000Z",800,"Expense","Paid"
"user_004","2024-12-04T10:21:13.000Z",3200,"Expense","Pending"
"user_004","2024-12-04T08:25:04.000Z",1500,"Expense","Paid"
"user_004","2024-12-03T10:20:41.000Z",1500,"Expense","Paid"
"user_004","2024-12-01T15:19:47.000Z",1100,"Expense","Pending"
"user_004","2024-12-01T14:28:59.000Z",1100,"Expense","Pending"
"user_003","2024-11-19T16:25:45.000Z",3200,"Expense","Paid"
"user_003","2024-11-15T08:30:09.000Z",2200,"Expense","Paid"
"user_003","2024-11-04T10:11:56.000Z",1100,"Expense","Paid"
"user_002","2024-10-31T08:38:23.000Z",1500,"Expense","Paid"
"user_002","2024-10-30T14:55:12.000Z",1200,"Expense","Pending"
"user_002","2024-10-25T07:03:40.000Z",600,"Expense","Paid"
"user_002","2024-10-24T12:03:04.000Z",2200,"Expense","Paid"
"user_002","2024-10-20T11:25:30.000Z",400,"Expense","Paid"
"user_002","2024-10-19T13:56:10.000Z",850,"Expense","Pending"
"user_002","2024-10-18T17:30:25.000Z",1800,"Expense","Paid"
"user_002","2024-10-17T12:28:51.000Z",1100,"Expense","Paid"
"user_002","2024-10-17T09:01:30.000Z",1500,"Expense","Paid"
"user_002","2024-10-14T15:03:21.000Z",1100,"Expense","Pending"
"user_002","2024-10-12T11:23:09.000Z",900,"Expense","Pending"
"user_002","2024-10-11T13:22:30.000Z",800,"Expense","Pending"
"user_002","2024-10-10T11:43:05.000Z",1500,"Expense","Paid"
"user_002","2024-10-10T11:27:48.000Z",1800,"Expense","Paid"
